holdout,row_index,exp019_p_lipid,best_component,best_component_p_lipid,p_shape3,p_shape6,p_shell6_shape,p_shell6_shape3,p_hydro4,p_geom,p_chem
apo_pdb,82,0.145802288223058,shell6_shape,0.17674580961465836,0.17084049154073,0.16696908231824636,0.17674580961465836,0.15896461298689246,0.12729236762970686,0.09944592230021954,0.1763394558802247
apo_pdb,84,0.29892531186342236,shell6_shape,0.47187398560345173,0.2402214640751481,0.3050073590129614,0.47187398560345173,0.21851217932999134,0.19973838049918413,0.4490453004837036,0.3223233399912715
apo_pdb,88,0.29417192600667474,shape3,0.49407530948519707,0.49407530948519707,0.2637509275227785,0.44345233030617237,0.30274178087711334,0.3036019876599312,0.22456537000834942,0.3761995639652014
apo_pdb,89,0.02847350591327995,chem,0.040885278256610036,0.01853783312253654,0.035063562798313797,0.03155206562951207,0.02851613354869187,0.01703653030563146,0.020866024657152593,0.040885278256610036
apo_pdb,90,0.060137839615345,shell6_shape,0.07844117982313037,0.07262293342500925,0.040818469133228064,0.07844117982313037,0.047134844586253166,0.059110247530043125,0.07662310218438506,0.07700253464281559
apo_pdb,91,0.4246174136176706,shape6,0.5306329876184464,0.3583664018660784,0.5306329876184464,0.41915275156497955,0.37028123158961535,0.43453194573521614,0.4422149918973446,0.34542591124773026
apo_pdb,92,0.16790105961263177,shell6_shape,0.3492276780307293,0.15829969104379416,0.2155541554093361,0.3492276780307293,0.1429452821612358,0.1537229958921671,0.20133490301668644,0.12594796158373356
apo_pdb,96,0.4163337111473083,shell6_shape,0.6330977082252502,0.49658464174717665,0.45851888228207827,0.6330977082252502,0.3801036812365055,0.37822848930954933,0.3931419998407364,0.47167550306767225
apo_pdb,100,0.3269445111975074,chem,0.548000237904489,0.4070865362882614,0.33389235753566027,0.39090233482420444,0.34854338597506285,0.29982061218470335,0.1044659623876214,0.548000237904489
apo_pdb,104,0.2761504454538226,shell6_shape,0.3848951670806855,0.3241931851953268,0.2515042037703097,0.3848951670806855,0.22344697313383222,0.2618863480165601,0.2729537822306156,0.37096092011779547
alphafold,4,0.05008191398810595,shell6_shape3,0.10545457690022886,0.032322203274816275,0.037469293689355254,0.04493570001795888,0.10545457690022886,0.017903528059832752,0.05125131830573082,0.03833085298538208
alphafold,6,0.44394156187772754,shape3,0.757788248360157,0.757788248360157,0.4418647885322571,0.5705495607107878,0.3994861450046301,0.4560319185256958,0.4027154128998518,0.5196095444262028
alphafold,7,0.3803916787728667,shape3,0.5922015756368637,0.5922015756368637,0.42567227641120553,0.46537972055375576,0.47207458410412073,0.2579636354930699,0.23655416630208492,0.5096937315538526
alphafold,13,0.3454589549452066,chem,0.5315369348973036,0.5051813251338899,0.255324081517756,0.41567282006144524,0.5070845820009708,0.22797964559867978,0.20536953071132302,0.5315369348973036
alphafold,31,0.07292327135801316,shape3,0.10287522012367845,0.10287522012367845,0.0823218235746026,0.09700534725561738,0.06321985647082329,0.05234399391338229,0.09077560203149915,0.07595508079975843
alphafold,33,0.4770528122782707,shell6_shape,0.6507290378212929,0.597722128033638,0.40717673674225807,0.6507290378212929,0.5958157330751419,0.5680742226541042,0.26605629175901413,0.5481410771608353
alphafold,36,0.26797633096575735,shape3,0.3626312371343374,0.3626312371343374,0.2001814404502511,0.2515546688809991,0.33156001567840576,0.2731255413964391,0.2269909642636776,0.3080236930400133
alphafold,41,0.09829023545607925,shell6_shape,0.2018952900543809,0.1796633922494948,0.08178992802277207,0.2018952900543809,0.12058673659339547,0.07637527398765087,0.10810278076678514,0.10459645790979266
alphafold,42,0.3923417104408145,chem,0.6276758182793856,0.48736939672380686,0.35669796355068684,0.3747135242447257,0.23959181271493435,0.38548111636191607,0.35226184129714966,0.6276758182793856
alphafold,43,0.4978431984782219,chem,0.6170595567673445,0.563765712082386,0.5220650210976601,0.5887729255482554,0.4099327754229307,0.5439069159328938,0.39625172317028046,0.6170595567673445
alphafold,44,0.3561325613409281,chem,0.41442450135946274,0.29387773014605045,0.3852300811558962,0.2672467343509197,0.2816333454102278,0.4070266932249069,0.29234818555414677,0.41442450135946274
alphafold,45,0.2944173185154796,shell6_shape,0.5197240132838488,0.3296324200928211,0.22030285745859146,0.5197240132838488,0.3376007340848446,0.28490485064685345,0.28656075429171324,0.3427173960953951
alphafold,46,0.45999773442745207,chem,0.5159068629145622,0.4378540776669979,0.4915670081973076,0.4941904805600643,0.4160444550216198,0.4656774587929249,0.41079288721084595,0.5159068629145622
alphafold,53,0.1819758096477017,shell6_shape3,0.4321798742748797,0.0949759075883776,0.10546684404835105,0.41227677784627303,0.4321798742748797,0.13070756918750703,0.15421299263834953,0.0873117680894211
alphafold,54,0.15135312373749912,shell6_shape,0.21657095197588205,0.15205086302012205,0.19675908237695694,0.21657095197588205,0.14426265214569867,0.1270975787192583,0.11927018221467733,0.16937612323090434
alphafold,56,0.3170212239027024,hydro4,0.4561740644276142,0.31350958067923784,0.18669419921934605,0.3723439294844866,0.2772150654345751,0.4561740644276142,0.3073629532009363,0.35765983723104
alphafold,57,0.3217582695186138,shape3,0.6044189967215061,0.6044189967215061,0.35011398792266846,0.37991879507899284,0.33209828846156597,0.31822578236460686,0.3704588934779167,0.23789439536631107
alphafold,59,0.29976970395073294,shell6_shape3,0.4854438602924347,0.3767496692016721,0.18784909415990114,0.3603751417249441,0.4854438602924347,0.3511454672552645,0.21760552190244198,0.2568045761436224
alphafold,62,0.4464899845421314,shape3,0.6293856874108315,0.6293856874108315,0.43722762539982796,0.5076201148331165,0.4459810368716717,0.4189513102173805,0.4436536356806755,0.48663631454110146
alphafold,64,0.23091876395046712,shape3,0.3757877601310611,0.3757877601310611,0.20741657353937626,0.3174776788800955,0.2559631634503603,0.172984782140702,0.19206472346559167,0.3261645771563053
alphafold,65,0.3983283927664161,chem,0.6444710288196802,0.519782267510891,0.4533294830471277,0.3485109657049179,0.33908277563750744,0.3283934947103262,0.2263651816174388,0.6444710288196802
alphafold,69,0.22396645825356246,shape3,0.40855887718498707,0.40855887718498707,0.2961055841296911,0.23022742476314306,0.21095459163188934,0.16253846045583487,0.21277295984327793,0.237460695207119
alphafold,71,0.2744688620325178,shell6_shape,0.5291564571671188,0.5208430360071361,0.1437625193502754,0.5291564571671188,0.3287487500347197,0.33512873481959105,0.30184224201366305,0.26286206394433975
alphafold,74,0.11383384549990297,shell6_shape,0.22237561643123627,0.1708475723862648,0.09764077793806791,0.22237561643123627,0.15190527215600014,0.06257250672206283,0.10609535872936249,0.15095531195402145
