kind,C,mode,thr,int_f1,int_lipid5,fire,apo_pdb_f1,apo_pdb_auc,apo_pdb_fire,alphafold_f1,alphafold_auc,alphafold_fire,holdout_mean
simple,30.0,maxlegacy,0.99,0.8969625187447829,0.6614402957755183,0.014375821287779238,0.7401574803149608,0.7707462686567164,0.10256410256410256,0.7926829268292682,0.8467222432739674,0.14093959731543623,0.7664202035721145
rich,0.03,maxlegacy,0.95,0.8962156427557184,0.6599888264586307,0.015558475689881734,0.7500000000000001,0.7785074626865671,0.13675213675213677,0.7826086956521738,0.854679802955665,0.12080536912751678,0.7663043478260869
no_base,1.0,maxlegacy,0.95,0.8964557892048627,0.6607136274541869,0.021392904073587383,0.7419354838709676,0.7874626865671641,0.1452991452991453,0.7901234567901235,0.854490337248958,0.12751677852348994,0.7660294703305456
no_base,3.0,maxlegacy,0.95,0.8962716558437204,0.660607426881345,0.021865965834428385,0.7419354838709676,0.7874626865671641,0.1452991452991453,0.7901234567901235,0.854490337248958,0.12751677852348994,0.7660294703305456
simple,1.0,maxlegacy,0.95,0.8948498809164593,0.6576841884888859,0.024494086727989486,0.748091603053435,0.7546268656716418,0.19658119658119658,0.7836257309941521,0.7769988632057598,0.18791946308724833,0.7658586670237936
simple,3.0,maxlegacy,0.95,0.8947405623940226,0.6578321258999812,0.025019710906701707,0.748091603053435,0.7558208955223881,0.21367521367521367,0.7836257309941521,0.7769988632057598,0.18791946308724833,0.7658586670237936
simple,10.0,maxlegacy,0.95,0.8946520195346989,0.6577932639985239,0.02530880420499343,0.748091603053435,0.7558208955223881,0.21367521367521367,0.7836257309941521,0.7769988632057598,0.18791946308724833,0.7658586670237936
simple,30.0,maxlegacy,0.95,0.8946520195346989,0.6577932639985239,0.02530880420499343,0.748091603053435,0.7558208955223881,0.21367521367521367,0.7836257309941521,0.7769988632057598,0.18791946308724833,0.7658586670237936
compact,3.0,paper17,0.9,0.8965477617551558,0.6597270002359592,0.030091984231274637,0.736,0.7955223880597015,0.1794871794871795,0.7951807228915663,0.8315649867374005,0.19463087248322147,0.7655903614457831
compact,10.0,paper17,0.9,0.8965477617551558,0.6597270002359592,0.03040735873850197,0.736,0.7955223880597015,0.1794871794871795,0.7951807228915663,0.8315649867374005,0.19463087248322147,0.7655903614457831
compact,30.0,paper17,0.9,0.8965477617551558,0.6597270002359592,0.030512483574244416,0.736,0.7955223880597015,0.1794871794871795,0.7951807228915663,0.8315649867374005,0.19463087248322147,0.7655903614457831
no_base,0.03,maxlegacy,0.95,0.8962051154079711,0.6600813907267832,0.013850197109067017,0.7500000000000001,0.7797014925373134,0.1111111111111111,0.7804878048780488,0.8355437665782494,0.1342281879194631,0.7652439024390245
simple,3.0,maxlegacy,0.99,0.8970528402048145,0.6614763818268716,0.01419185282522996,0.7401574803149608,0.7707462686567164,0.10256410256410256,0.787878787878788,0.8313755210306935,0.1476510067114094,0.7640181340968744
rich,10.0,maxlegacy,0.95,0.8960804418173552,0.6603614105206702,0.02202365308804205,0.7419354838709676,0.7913432835820896,0.13675213675213677,0.7852760736196318,0.8476695718075028,0.14093959731543623,0.7636057787452997
rich,30.0,maxlegacy,0.95,0.8961733950291744,0.6604436023014921,0.02204993429697766,0.7419354838709676,0.7913432835820896,0.13675213675213677,0.7852760736196318,0.8476695718075028,0.14093959731543623,0.7636057787452997
simple,0.3,maxlegacy,0.95,0.8949598854143068,0.6576372377435442,0.022864651773981604,0.748091603053435,0.7546268656716418,0.19658119658119658,0.7790697674418605,0.7616521409624858,0.19463087248322147,0.7635806852476478
no_base,0.3,maxlegacy,0.95,0.8960857629175958,0.6603366472192692,0.020105124835742443,0.7419354838709676,0.7874626865671641,0.1452991452991453,0.7826086956521738,0.8539219401288367,0.12080536912751678,0.7622720897615707
rich,1.0,paper17,0.9,0.8967972367474293,0.6602096985287237,0.02967148488830486,0.736,0.7919402985074627,0.17094017094017094,0.787878787878788,0.8270178097764305,0.18791946308724833,0.7619393939393939
rich,3.0,paper17,0.9,0.8968136030816548,0.660229727435558,0.030249671484888305,0.736,0.7919402985074627,0.17094017094017094,0.787878787878788,0.8270178097764305,0.18791946308724833,0.7619393939393939
rich,10.0,paper17,0.9,0.8968136030816548,0.660229727435558,0.030617608409986858,0.736,0.7919402985074627,0.17094017094017094,0.787878787878788,0.8270178097764305,0.18791946308724833,0.7619393939393939
rich,30.0,paper17,0.9,0.8968136030816548,0.660229727435558,0.03064388961892247,0.736,0.7919402985074627,0.17094017094017094,0.787878787878788,0.8270178097764305,0.18791946308724833,0.7619393939393939
rich,0.1,paper17,0.9,0.8962709830456008,0.658419823496494,0.02709592641261498,0.7401574803149608,0.7841791044776119,0.18803418803418803,0.7831325301204819,0.8167866616142478,0.19463087248322147,0.7616450052177213
no_base,0.1,paper17,0.9,0.8964142392099232,0.6590366687278992,0.026228646517739818,0.7401574803149608,0.7817910447761194,0.1794871794871795,0.7831325301204819,0.814892004547177,0.19463087248322147,0.7616450052177213
simple,1.0,maxlegacy,0.99,0.8974183976629374,0.6617094076158386,0.01369250985545335,0.734375,0.7537313432835822,0.10256410256410256,0.787878787878788,0.8313755210306935,0.1476510067114094,0.761126893939394
no_base,0.3,paper17,0.9,0.896450655883344,0.6595972641575147,0.028567674113009197,0.736,0.7919402985074627,0.17094017094017094,0.7852760736196318,0.8323228495642289,0.174496644295302,0.7606380368098159
compact,0.1,mean,0.9,0.8998514626042643,0.6656339577682071,0.02659658344283837,0.7500000000000001,0.7892537313432836,0.19658119658119658,0.7710843373493976,0.8298597953770368,0.20134228187919462,0.7605421686746989
compact,0.1,mean,0.95,0.8999054581620348,0.6656895414319023,0.018423127463863338,0.746031746031746,0.7940298507462686,0.1623931623931624,0.775,0.8561955286093217,0.12751677852348994,0.760515873015873
no_base,0.03,paper17,0.9,0.8960880480279184,0.6580827387140721,0.02176084099868594,0.7441860465116278,0.7847761194029851,0.19658119658119658,0.7764705882352941,0.7768093974990526,0.21476510067114093,0.760328317373461
compact,0.03,vsterol,0.95,0.8996953496003256,0.6654646775006282,0.014638633377135349,0.7401574803149608,0.7785074626865671,0.1282051282051282,0.7798742138364779,0.8685107995452823,0.12751677852348994,0.7600158470757193
no_base,1.0,paper17,0.9,0.8966968241300683,0.6601127471990845,0.029855453350854138,0.7419354838709676,0.8056716417910448,0.17094017094017094,0.7777777777777779,0.830238726790451,0.16778523489932887,0.7598566308243728
compact,0.1,vsterol,0.9,0.8992501022064385,0.6653078773922502,0.02659658344283837,0.7500000000000001,0.7829850746268656,0.19658119658119658,0.7682926829268293,0.8294808639636225,0.20134228187919462,0.7591463414634148
simple,0.03,maxlegacy,0.95,0.8948462004102974,0.6572226922725811,0.014218134034165572,0.748091603053435,0.7582089552238807,0.11965811965811966,0.7701149425287357,0.7408109132247064,0.20134228187919462,0.7591032727910854
simple,0.1,maxlegacy,0.95,0.894304170776548,0.6570036472876758,0.019842312746386332,0.748091603053435,0.7531343283582089,0.1623931623931624,0.7701149425287357,0.7410003789314135,0.2080536912751678,0.7591032727910854
compact,0.1,vsterol,0.95,0.8993729241645123,0.6652290724531575,0.018423127463863338,0.746031746031746,0.7886567164179105,0.1623931623931624,0.7721518987341772,0.8645320197044335,0.12751677852348994,0.7590918223829617
simple,0.3,maxlegacy,0.99,0.8974855761362615,0.661705908516564,0.011957950065703023,0.734375,0.7537313432835822,0.09401709401709402,0.7831325301204819,0.8150814702538841,0.15436241610738255,0.758753765060241
compact,0.3,mean,0.9,0.8998514626042643,0.6656339577682071,0.028699080157687254,0.746031746031746,0.7943283582089553,0.1794871794871795,0.7710843373493976,0.8300492610837439,0.20134228187919462,0.7585580416905718
compact,1.0,mean,0.9,0.8999446465220055,0.6657271978614472,0.029724047306176084,0.746031746031746,0.7943283582089553,0.1794871794871795,0.7710843373493976,0.8300492610837439,0.20134228187919462,0.7585580416905718
rich,0.3,mean,0.9,0.8997585067446278,0.6655895441665416,0.02888304862023653,0.746031746031746,0.7943283582089553,0.1794871794871795,0.7710843373493976,0.8300492610837439,0.20134228187919462,0.7585580416905718
compact,1.0,mean,0.95,0.8999745042293648,0.6658652127097865,0.02128777923784494,0.7419354838709676,0.7925373134328357,0.15384615384615385,0.775,0.8565744600227359,0.1342281879194631,0.7584677419354838
compact,3.0,mean,0.95,0.8997430799753933,0.665684058083963,0.02152431011826544,0.7419354838709676,0.7925373134328357,0.15384615384615385,0.775,0.8565744600227359,0.1342281879194631,0.7584677419354838
