components,n_components,lipid5,lipid5_std,macro10,macro10_std,binary_f1,binary_f1_std,CLR,MYR,OLA,PLM,STE,apo_f1,apo_auroc,alphafold_f1,alphafold_auroc,holdout_mean,holdout_min
shape3+shell6_shape+shell6_shape3+hydro4+geom+chem,6,0.6815876102035788,0.02884912412490932,0.777578035160871,0.017574926254681007,0.9056489239947837,0.015438706156880798,0.7736753720387047,0.711815225089947,0.6216558589023492,0.6489661728442081,0.6518254221426852,0.6782608695652174,0.8011940298507462,0.6713286713286712,0.8641530882910193,0.6747947704469444,0.6713286713286712
shape3+shell6_shape+shell6_shape3+geom,4,0.6815799848661728,0.028714514381410018,0.7765320378120226,0.01618086570333066,0.9046060833038453,0.015701862682231168,0.7687989878937551,0.7124813677210203,0.6222009624852067,0.6527455691045584,0.6516730371263233,0.6666666666666666,0.8023880597014925,0.6853146853146853,0.8652898825312618,0.675990675990676,0.6666666666666666
shell6_shape+shell6_shape3+hydro4,3,0.6815797007180835,0.03266650743568149,0.7754914935685457,0.019560985518245963,0.9046327772755288,0.017363116566686668,0.7728456219105172,0.7119907153719339,0.6177946011780763,0.6492772926341633,0.6559902724957272,0.6666666666666666,0.8029850746268655,0.6524822695035462,0.8626373626373626,0.6595744680851063,0.6524822695035462
shape3+shape6+shell6_shape+shell6_shape3+hydro4+geom+chem,7,0.681551093067689,0.03097707176693188,0.7772084392589964,0.017480159707028178,0.9062476740709698,0.016544841538094886,0.7708633496074486,0.7101662568171985,0.6236949033236244,0.6515857892855954,0.6514451663045782,0.6782608695652174,0.8005970149253732,0.6713286713286712,0.8632057597574838,0.6747947704469444,0.6713286713286712
shape6+shell6_shape3+geom+chem,4,0.6815274349229121,0.029436723496714102,0.7762061297228727,0.015955605627340188,0.9049212680310039,0.015541481458908738,0.7692811417937285,0.7111200371953508,0.6271219240591597,0.6545829387073581,0.6455311328589631,0.6428571428571428,0.7970149253731342,0.6231884057971014,0.8613111026904131,0.6330227743271222,0.6231884057971014
shape3+shell6_shape3+geom,3,0.6814823228500029,0.0289403782198529,0.7770004173444353,0.016802763960132142,0.9046959280050143,0.015139546312951672,0.7674568178546773,0.7124815776139215,0.6261667818592422,0.6489507989426399,0.6523556379795338,0.6428571428571428,0.7994029850746268,0.6714285714285715,0.8690791966654036,0.6571428571428571,0.6428571428571428
shell6_shape+shell6_shape3+geom+chem,4,0.6814696142724841,0.030018211644402423,0.7757002575519212,0.01715951147074116,0.9043295868580137,0.01695963641334293,0.7675009812329517,0.7153133215190473,0.621333320253649,0.6476393798830843,0.6555610684736886,0.6782608695652174,0.7991044776119403,0.6713286713286712,0.8628268283440697,0.6747947704469444,0.6713286713286712
shape6+shell6_shape+shell6_shape3+hydro4+chem,5,0.6814210412482252,0.030564672862546122,0.7771646149109906,0.016656197153480927,0.905902057885235,0.01619345418962304,0.7750657872912629,0.7112787921183116,0.622625812884267,0.6485063206330038,0.6496284933142809,0.689655172413793,0.8029850746268656,0.647887323943662,0.8601743084501705,0.6687712481787276,0.647887323943662
shape3+shape6+shell6_shape3+hydro4+geom,5,0.6813464503924752,0.03440285778782145,0.7773397859683695,0.018761842271256816,0.9050178663640273,0.014438634223818381,0.7726556103069838,0.7081174741244658,0.6245090924132464,0.6507007148304418,0.6507493602872383,0.6428571428571428,0.7970149253731343,0.6323529411764706,0.8654793482379689,0.6376050420168067,0.6323529411764706
shape6+shell6_shape3+hydro4,3,0.6812943236030341,0.028534221080474795,0.776879311149051,0.017504247128137033,0.9051573030056136,0.017429072969552168,0.7696014132782512,0.7054801075240897,0.6210788690835293,0.6508455921772351,0.6594656359520653,0.6486486486486487,0.7970149253731343,0.6285714285714287,0.8618794998105344,0.6386100386100386,0.6285714285714287
shape6+shell6_shape+shell6_shape3+hydro4,4,0.6812557715035084,0.03049900585723049,0.7772574645730771,0.01654955006786125,0.9046438669894558,0.016764113575033154,0.772450178503816,0.7045837974652993,0.620650430458503,0.6498571115844689,0.6587373395054544,0.6782608695652174,0.800597014925373,0.647887323943662,0.8624478969306555,0.6630740967544397,0.647887323943662
shape3+shell6_shape3+geom+chem,4,0.6812506387376023,0.03089619078807051,0.7771313718621841,0.017580361816481434,0.9045282675175385,0.014924230303493637,0.7728549605418751,0.7164837255051562,0.62198190408604,0.6513510811697423,0.643581522385198,0.6428571428571428,0.797910447761194,0.6713286713286712,0.8664266767715043,0.657092907092907,0.6428571428571428
shape6+shell6_shape3+hydro4+chem,4,0.6812315910778831,0.030810998197498874,0.7771260784378424,0.017786667907176847,0.9051507996267831,0.016328585276791544,0.7736045885795383,0.7082361104670567,0.6244300826050959,0.6497656458347472,0.6501215279029773,0.6607142857142858,0.798507462686567,0.6285714285714287,0.8607427055702918,0.6446428571428573,0.6285714285714287
shape3+shape6+shell6_shape+hydro4+geom+chem,6,0.681161300760432,0.029998680964883975,0.7771984431190682,0.017154424501749293,0.905605929525814,0.014827077681445573,0.7709380577002573,0.7121320024515531,0.6255903799420617,0.6495586499341397,0.6475874137741485,0.6782608695652174,0.802089552238806,0.6666666666666666,0.8616900341038273,0.672463768115942,0.6666666666666666
shape6+shell6_shape+shell6_shape3+geom+chem,5,0.6810646897685124,0.03173053770123821,0.7761608647800549,0.016452245276091865,0.9043690183826162,0.01706988596940838,0.774108180834096,0.710345567005082,0.6218768766937329,0.6488795997604271,0.6501132245492243,0.6782608695652174,0.7985074626865672,0.6524822695035462,0.8607427055702918,0.6653715695343818,0.6524822695035462
shape3+shape6+shell6_shape3+hydro4,4,0.6810243114432718,0.0313354925799568,0.7776897957626845,0.01788792884990945,0.9052376432575733,0.015676845632645865,0.763495156208216,0.7050408721149489,0.6270103935017065,0.6509607749863937,0.6586143604050945,0.6548672566371682,0.7973134328358209,0.6573426573426574,0.8637741568776052,0.6561049569899128,0.6548672566371682
