feature,family,unique,std,zero_frac,gain_mean,gain_std,gain_frac_mean,gain_used_splits,split_count_mean,perm_lipid5_drop_mean,perm_lipid5_drop_std,perm_macro10_drop_mean,perm_binary_f1_drop_mean,mi_10class,mi_above_global95,mi_above_global99,mi_above_max95,mi_above_feature95,lgbm_stable_gain,perm_positive_1bp,perm_positive_5bp,any_supervised_signal
GLU,v_sterol,13,1.0496944754610924,0.4707930875878836,1014.4023925006389,145.49837398810945,0.0030568178459634042,25,151.56,0.008491719811393673,0.003396393114897717,0.007403047313617961,-0.0004965219402728982,0.035851370694480966,True,True,True,True,True,True,True,True
small_special_count_shell2,v_sterol,7,0.8938662436950324,0.4772981141993561,987.5552555269003,180.34814495052848,0.002975883818027621,25,158.08,-0.0013101337889663389,0.006816867224463925,1.5230783627995237e-05,0.0018580947224378307,0.006497032657582835,False,False,False,False,True,False,False,True
aromatic_pi_count_shell2,v_sterol,7,0.7538674083806491,0.6016821078914515,984.0846506121754,179.4623667384273,0.0029654276811229676,25,132.16,0.0006476567495583563,0.0077882012855726305,0.00211460858763437,0.00013224354470282585,0.037313306455167616,True,True,True,True,True,False,False,True
polar_neutral_count_shell2,v_sterol,9,1.1021334259087507,0.313752546159406,874.0446499553323,178.70561496193025,0.0026338498638346025,25,142.56,-0.005206551161596251,0.003493598555092978,-0.0011714211212176195,0.0017603122266334204,0.013519097859267415,True,True,True,True,True,False,False,True
polar_hydrophobic_ratio_shell4,v_sterol,64,0.492034335110714,0.7857940731979762,858.4820993641019,215.60126987557692,0.00258693528773759,25,144.36,-0.006109549093738465,0.004010313851971699,-0.003257714102252751,0.0019363309301855924,0.1165110707663537,True,True,True,True,True,False,False,True
bulky_hydrophobic_count_shell4,v_sterol,12,1.2065907416103498,0.7976871016492543,840.8625718808174,173.16438385121265,0.002533868797378841,25,91.96,-0.011082404823016655,0.0016864645536723724,-0.0072726612821440995,-0.004536052361983467,0.11700354692188109,True,True,True,True,True,False,False,True
aromatic_count_shell2,v_sterol,9,1.057367360777031,0.37597739667520863,798.2376719060541,194.94550068749274,0.0024053977078600857,25,102.84,-0.012060842970403196,0.006955621009733611,-0.005643945760568703,0.001440711706255704,0.026435258570295606,True,True,True,True,True,False,False,True
aromatic_aliphatic_ratio_shell4,v_sterol,53,0.31505465345456,0.8398055062750509,765.3198746439815,146.34250408994015,0.0023062168346160788,25,124.2,0.0005137153212328549,0.0017028504998499547,0.000465302816342672,0.0,0.0884204141491236,True,True,True,True,True,False,False,True
small_special_count_shell3,v_sterol,8,0.9169321611680802,0.6428806097641107,736.3223789513111,153.71107178830485,0.002218830836552853,25,123.92,0.0009580445330257037,0.0017198516674054244,0.00275438129309753,-0.0013612629488036544,0.060611838508917604,True,True,True,True,True,False,False,True
aromatic_pi_count_shell3,v_sterol,8,0.755696450178429,0.7480123529798278,692.4601660740376,164.2158521333977,0.0020866510452030675,25,108.96,-0.0012444791621073037,0.007499852858716222,-0.0013668676305928606,0.0,0.09490701482192954,True,True,True,True,True,False,False,True
anionic_count_shell3,v_sterol,7,0.8050093517789035,0.666929496024706,688.6810227957368,124.29009094622934,0.002075249088240534,25,124.04,-0.0013195928604502027,0.004052974094858763,-0.0009984914192178618,-0.004536052361983467,0.043601178487853165,True,True,True,True,True,False,False,True
aromatic_polar_count_shell2,v_sterol,6,0.7133768808783574,0.6151521124909652,557.8690854254365,108.29349378105353,0.0016810614565605376,25,86.2,-0.004102567852150218,0.004228436355099348,-0.0022835247070660315,-0.002130730883969245,0.012777984108874652,True,True,False,True,True,False,False,True
aliphatic_count_shell4,v_sterol,15,1.6761128347085767,0.7593140153755175,527.388710962534,151.41961198904175,0.0015892158335183363,25,76.36,0.0005433078852218109,1.561466653951358e-05,-6.063439369095036e-05,0.0022492669799574205,0.12675514036607316,True,True,True,True,True,False,False,True
aromatic_count_shell3,v_sterol,11,1.1377451387617306,0.6087785005585123,511.43996872022745,137.1891243090934,0.0015411863928015412,25,89.56,-0.0013083397553608211,0.0018730983778811245,-0.0017936822893968919,0.0002698618307426681,0.11624129259156035,True,True,True,True,True,False,False,True
anionic_count_shell4,v_sterol,8,0.581841441808535,0.866548393455549,480.7159246480465,130.6484588210903,0.0014486087980662488,25,81.8,-0.0010200578650951587,0.004153588848858613,-0.0003022089014879326,0.0011735414844222802,0.04964078728138688,True,True,True,True,True,False,False,True
aromatic_count_shell4,v_sterol,9,0.8017248987223031,0.8398055062750509,429.9442377316952,112.07188581925699,0.0012956021269493745,25,56.48,0.002229182166030741,0.0010850839815139547,0.0010941248661687775,-0.0009043805934997983,0.08816089718951714,True,True,True,True,True,True,False,True
polar_neutral_count_shell4,v_sterol,9,0.8865946686260482,0.8173993035022012,379.5708887630701,104.08597342163395,0.0011437909510676237,25,50.68,0.0030047901997225512,0.006718915144704794,0.001110963014277533,0.0,0.08149926948775343,True,True,True,True,True,True,False,True
cationic_count_shell4,v_sterol,7,0.5854760182316775,0.8597805374860372,294.5931771248579,133.5557153306819,0.0008877253846619304,25,43.84,0.0,0.0,-0.00033246432875069234,0.0,0.0516886847853848,True,True,True,True,False,False,False,True
aromatic_polar_count_shell3,v_sterol,7,0.6647424812005185,0.7460411327945331,265.9237764802575,80.8686775879528,0.0008013281463513264,25,49.32,0.004519234831475871,0.002093982847937292,0.001195454661434292,-0.002334953341098611,0.05067063177569109,True,True,True,True,False,True,False,True
small_special_count_shell1,v_sterol,3,0.13257897251200332,0.9831132137459754,254.51245808333158,60.56419973779062,0.0007669496477507458,25,38.64,0.0,0.0,0.0003689232416065558,0.0,0.0002542596677224118,False,False,False,False,False,False,False,False
small_special_count_shell4,v_sterol,9,0.6777043396973754,0.8515671200473093,240.3380699980259,87.87705497261582,0.0007242339670183525,25,55.56,-0.01141491549639988,0.0004335516081578282,-0.00570745774819994,0.0,0.07073642784789991,True,True,True,True,False,False,False,True
aromatic_pi_count_shell4,v_sterol,7,0.4817860837062176,0.8946054274262435,236.05963660389185,92.03962109235177,0.0007113482453081197,25,38.4,0.0,0.0,-0.0006697079399150096,0.0,0.06539698979761743,True,True,True,True,False,False,False,True
aromatic_pi_count_shell1,v_sterol,3,0.12306148811318604,0.9848216045732309,216.45802039533854,87.83357833396725,0.0006522829259081095,25,16.0,-0.0012049659373897903,0.002198287100478464,-0.000612179837232274,-0.0005837383352746528,0.002058007237848436,False,False,False,False,False,False,False,False
aromatic_polar_count_shell4,v_sterol,6,0.4794966397104042,0.8982850384387936,201.82658996224404,94.1441172358185,0.0006081720618562347,25,33.4,0.0005137153212328549,0.0017028504998499547,0.00019223956068723514,0.0,0.04303116285879627,True,True,True,True,False,False,False,True
cationic_count_shell1,v_sterol,3,0.16451952578966844,0.9733885274985216,200.13090885579587,83.09444701175156,0.0006030648812739254,25,15.32,-0.0017082561392890883,0.002359732526615048,-0.0010870609181536039,-0.0005837383352746528,0.0023710258151301566,False,False,False,False,False,False,False,False
polar_neutral_count_shell1,v_sterol,3,0.17432381916672562,0.9708916485971483,190.72065645366908,113.63267542658828,0.0005747271396094051,25,17.84,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False
polar_hydrophobic_ratio_shell1,v_sterol,6,0.21924652875791611,0.9545962283987122,179.3008026188612,83.90337544883882,0.0005402918271451905,25,20.36,0.0,0.0,0.0,0.0,0.0032215093255607563,False,False,False,False,False,False,False,False
bulky_hydrophobic_count_shell1,v_sterol,3,0.20876266468533952,0.962086865102832,174.1138400492072,58.74775259070342,0.0005246830231879253,25,21.56,-0.00033844526705446577,0.0007567866237968555,-0.0001261046492327722,0.0005867707422111401,0.015447551470565646,True,True,True,True,False,False,False,True
aliphatic_count_shell1,v_sterol,3,0.2495333750935999,0.9464485182994941,119.39941525399685,44.947676529219585,0.0003597992755496908,25,28.96,0.0,0.0,4.210925595204973e-05,0.0,0.012319360344414498,True,True,False,True,False,False,False,True
anionic_count_shell1,v_sterol,3,0.14954142166867584,0.9777252119061699,91.76132168471813,49.55797148045869,0.0002765134625439311,25,21.72,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False
aromatic_polar_count_shell1,v_sterol,3,0.1337349245655928,0.9823904330113674,59.494359085857866,31.126031354875362,0.00017927513662319933,25,13.68,0.0,0.0,0.0,0.0,0.01149864387185584,True,True,False,True,False,False,False,True
aromatic_count_shell1,v_sterol,3,0.18241373337389868,0.9676062816216572,48.92173044413328,62.19907552582905,0.00014742447631526577,25,8.2,0.0,0.0,0.0,0.0,0.003727794375610216,False,False,False,False,False,False,False,False
aromatic_aliphatic_ratio_shell1,v_sterol,5,0.17605376749094354,0.9676062816216572,46.651350147128106,26.954169437435894,0.00014058012920374166,25,11.16,-0.0026903222457970834,0.0007567866237968554,-0.0011398043098495903,-0.002715496938294937,0.007868029904361418,True,False,False,True,False,False,False,True
tunnel_extends_beyond_pocket,tunnel,2,0.25841282606367855,0.9280504632367436,11.51557359278202,13.341376008875747,3.4700641819635656e-05,24,2.44,0.0,0.0,0.0,0.0,0.0068641183448274745,False,False,False,False,False,False,False,False
tunnel_has_tunnel,tunnel,2,0.4516351060417051,0.2854326828306722,3.806037689447403,7.891314455406241,1.1469427271847994e-05,17,0.92,0.0,0.0,0.0,0.0,0.012293250799815247,True,True,False,True,False,False,False,True
tunnel_pocket_context_present,tunnel,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.002942492287469456,False,False,False,False,False,False,False,False
tunnel_branching_factor,tunnel,1,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00021999036207587253,False,False,False,False,False,False,False,False
tunnel_primary_avg_radius,tunnel,1,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False
